file	multicov_No	sample	group	time	type	seq	rep
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_24h_DoxPlus_H3K27me3_Rep01_runMerged.bam	59	H3K27me3_24h_DoxPlus_1	H3K27me3_24h_DoxPlus	24h	DoxPlus	H3K27me3	1
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_24h_DoxPlus_H3K27me3_Rep02_runMerged.bam	60	H3K27me3_24h_DoxPlus_2	H3K27me3_24h_DoxPlus	24h	DoxPlus	H3K27me3	2
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_48h_DoxMinus_H3K27me3_Rep01_runMerged.bam	61	H3K27me3_48h_DoxMinus_1	H3K27me3_48h_DoxMinus	48h	DoxMinus	H3K27me3	1
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_48h_DoxMinus_H3K27me3_Rep02_runMerged.bam	62	H3K27me3_48h_DoxMinus_2	H3K27me3_48h_DoxMinus	48h	DoxMinus	H3K27me3	2
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_48h_DoxPlus_H3K27me3_Rep01_runMerged.bam	63	H3K27me3_48h_DoxPlus_1	H3K27me3_48h_DoxPlus	48h	DoxPlus	H3K27me3	1
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/0111_3T3_EGFP18_48h_DoxPlus_H3K27me3_Rep03.bam	64	H3K27me3_48h_DoxPlus_2	H3K27me3_48h_DoxPlus	48h	DoxPlus	H3K27me3	2
/home/guestA/o70578a/akuwakado/kuwakado/ATACSeq/ATAC_0049Lane1_18project_3T3Dox_200603/mapping_bowtie2/NIH3T3-EGFP-H3mm18-Doxminus-UI-1_S16_trim_bowtie2.bam	65	ATAC_UI_DoxMinus_1	ATAC_UI_DoxMinus	UI	DoxMinus	ATAC	1
/home/guestA/o70578a/akuwakado/kuwakado/ATACSeq/ATAC_0049Lane1_18project_3T3Dox_200603/mapping_bowtie2/NIH3T3-EGFP-H3mm18-Doxminus-UI-2_S17_trim_bowtie2.bam	66	ATAC_UI_DoxMinus_2	ATAC_UI_DoxMinus	UI	DoxMinus	ATAC	2
/home/guestA/o70578a/akuwakado/kuwakado/ATACSeq/ATAC_0049Lane1_18project_3T3Dox_200603/mapping_bowtie2/NIH3T3-EGFP-H3mm18-Doxminus-UI-3_S18_trim_bowtie2.bam	67	ATAC_UI_DoxMinus_3	ATAC_UI_DoxMinus	UI	DoxMinus	ATAC	3
/home/guestA/o70578a/akuwakado/kuwakado/ATACSeq/ATAC_0049Lane1_18project_3T3Dox_200603/mapping_bowtie2/NIH3T3-EGFP-H3mm18-Doxminus-UI-4_S19_trim_bowtie2.bam	68	ATAC_UI_DoxMinus_4	ATAC_UI_DoxMinus	UI	DoxMinus	ATAC	4
/home/guestA/o70578a/akuwakado/kuwakado/ATACSeq/ATAC_0049Lane1_18project_3T3Dox_200603/mapping_bowtie2/NIH3T3-EGFP-H3mm18-Doxplus-UI-1_S20_trim_bowtie2.bam	69	ATAC_UI_DoxPlus_1	ATAC_UI_DoxPlus	UI	DoxPlus	ATAC	1
/home/guestA/o70578a/akuwakado/kuwakado/ATACSeq/ATAC_0049Lane1_18project_3T3Dox_200603/mapping_bowtie2/NIH3T3-EGFP-H3mm18-Doxplus-UI-2_S21_trim_bowtie2.bam	70	ATAC_UI_DoxPlus_2	ATAC_UI_DoxPlus	UI	DoxPlus	ATAC	2
/home/guestA/o70578a/akuwakado/kuwakado/ATACSeq/ATAC_0049Lane1_18project_3T3Dox_200603/mapping_bowtie2/NIH3T3-EGFP-H3mm18-Doxplus-UI-3_S22_trim_bowtie2.bam	71	ATAC_UI_DoxPlus_3	ATAC_UI_DoxPlus	UI	DoxPlus	ATAC	3
/home/guestA/o70578a/akuwakado/kuwakado/ATACSeq/ATAC_0049Lane1_18project_3T3Dox_200603/mapping_bowtie2/NIH3T3-EGFP-H3mm18-Doxplus-UI-4_S23_trim_bowtie2.bam	72	ATAC_UI_DoxPlus_4	ATAC_UI_DoxPlus	UI	DoxPlus	ATAC	4
/home/guestA/o70578a/akuwakado/kuwakado/ATACSeq/ATAC_0049Lane1_18project_3T3Dox_200603/mapping_bowtie2/NIH3T3-EGFP-H3mm18-Doxminus-D48-1_S24_trim_bowtie2.bam	73	ATAC_48h_DoxMinus_1	ATAC_48h_DoxMinus	48h	DoxMinus	ATAC	1
/home/guestA/o70578a/akuwakado/kuwakado/ATACSeq/ATAC_0049Lane1_18project_3T3Dox_200603/mapping_bowtie2/NIH3T3-EGFP-H3mm18-Doxminus-D48-2_S25_trim_bowtie2.bam	74	ATAC_48h_DoxMinus_2	ATAC_48h_DoxMinus	48h	DoxMinus	ATAC	2
/home/guestA/o70578a/akuwakado/kuwakado/ATACSeq/ATAC_0049Lane1_18project_3T3Dox_200603/mapping_bowtie2/NIH3T3-EGFP-H3mm18-Doxminus-D48-3_S26_trim_bowtie2.bam	75	ATAC_48h_DoxMinus_3	ATAC_48h_DoxMinus	48h	DoxMinus	ATAC	3
/home/guestA/o70578a/akuwakado/kuwakado/ATACSeq/ATAC_0049Lane1_18project_3T3Dox_200603/mapping_bowtie2/NIH3T3-EGFP-H3mm18-Doxminus-D48-4_S27_trim_bowtie2.bam	76	ATAC_48h_DoxMinus_4	ATAC_48h_DoxMinus	48h	DoxMinus	ATAC	4
/home/guestA/o70578a/akuwakado/kuwakado/ATACSeq/ATAC_0049Lane1_18project_3T3Dox_200603/mapping_bowtie2/NIH3T3-EGFP-H3mm18-Doxplus-D48-1_S28_trim_bowtie2.bam	77	ATAC_48h_DoxPlus_1	ATAC_48h_DoxPlus	48h	DoxPlus	ATAC	1
/home/guestA/o70578a/akuwakado/kuwakado/ATACSeq/ATAC_0049Lane1_18project_3T3Dox_200603/mapping_bowtie2/NIH3T3-EGFP-H3mm18-Doxplus-D48-2_S29_trim_bowtie2.bam	78	ATAC_48h_DoxPlus_2	ATAC_48h_DoxPlus	48h	DoxPlus	ATAC	2
/home/guestA/o70578a/akuwakado/kuwakado/ATACSeq/ATAC_0049Lane1_18project_3T3Dox_200603/mapping_bowtie2/NIH3T3-EGFP-H3mm18-Doxplus-D48-3_S30_trim_bowtie2.bam	79	ATAC_48h_DoxPlus_3	ATAC_48h_DoxPlus	48h	DoxPlus	ATAC	3
/home/guestA/o70578a/akuwakado/kuwakado/ATACSeq/ATAC_0049Lane1_18project_3T3Dox_200603/mapping_bowtie2/NIH3T3-EGFP-H3mm18-Doxplus-D48-4_S31_trim_bowtie2.bam	80	ATAC_48h_DoxPlus_4	ATAC_48h_DoxPlus	48h	DoxPlus	ATAC	4
